# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Mon, 30 Mar 2026 03:00:58 +0200
#
# IP	number of (black)lists
#
171.104.143.176	6
171.231.180.86	6
171.244.37.97	6
171.244.37.103	6
171.244.40.3	6
172.83.83.216	6
172.174.5.146	6
172.235.235.248	6
172.239.240.198	6
173.10.13.18	6
173.249.50.59	6
175.196.135.148	6
175.200.104.40	6
175.205.18.22	6
176.12.67.226	6
177.36.214.46	6
177.36.220.22	6
177.53.215.134	6
178.20.55.16	6
178.27.90.142	6
178.49.109.109	6
178.160.228.51	6
178.185.136.57	6
178.251.140.3	6
179.32.33.161	6
180.76.137.24	6
180.76.170.111	6
180.76.185.165	6
180.76.236.214	6
180.93.137.63	6
180.100.217.164	6
180.184.52.206	6
181.23.124.239	6
181.104.58.197	6
181.191.128.18	6
181.218.9.86	6
182.18.161.165	6
182.43.164.191	6
182.44.82.212	6
182.48.80.240	6
182.93.50.90	6
182.180.57.212	6
182.253.79.195	6
183.81.169.235	6
183.91.11.36	6
183.247.171.186	6
184.166.209.201	6
185.5.127.59	6
185.10.63.235	6
185.38.148.2	6
185.129.62.62	6
185.141.23.39	6
185.164.81.156	6
185.177.72.23	6
185.177.72.30	6
185.177.72.52	6
185.196.8.218	6
185.208.158.110	6
185.213.175.140	6
185.239.84.249	6
185.242.3.105	6
186.68.83.105	6
186.96.151.198	6
186.226.207.233	6
187.16.96.250	6
187.85.155.182	6
187.110.238.50	6
187.111.28.131	6
187.174.238.116	6
187.210.77.100	6
189.127.109.198	6
189.146.58.128	6
189.203.163.10	6
189.217.130.86	6
190.0.63.226	6
190.129.122.185	6
190.145.192.106	6
190.153.249.99	6
190.156.238.162	6
190.181.27.37	6
190.184.222.63	6
192.42.116.16	6
192.227.213.239	6
193.32.162.151	6
193.106.245.20	6
193.233.48.169	6
194.76.226.229	6
194.107.115.11	6
194.164.59.59	6
196.196.253.20	6
196.216.81.126	6
196.218.222.18	6
197.5.145.8	6
197.5.145.102	6
197.221.232.44	6
197.225.146.23	6
197.243.14.52	6
198.235.24.80	6
199.45.154.118	6
199.45.155.88	6
199.45.155.103	6
199.195.254.215	6
199.231.163.19	6
200.24.69.113	6
200.46.125.168	6
200.69.236.207	6
200.75.7.83	6
200.91.236.125	6
200.108.174.4	6
200.196.50.91	6
201.6.100.191	6
201.63.223.138	6
201.76.120.30	6
201.137.3.76	6
202.51.214.98	6
202.51.214.99	6
202.70.78.237	6
202.70.82.95	6
202.155.157.204	6
202.165.16.9	6
202.165.17.230	6
202.165.29.119	6
202.188.47.41	6
203.0.104.170	6
203.23.199.89	6
203.90.110.186	6
203.121.40.210	6
203.145.34.165	6
203.145.34.222	6
203.150.107.244	6
206.42.14.196	6
206.189.32.119	6
206.189.58.8	6
209.14.88.118	6
209.97.168.111	6
209.141.47.217	6
210.79.190.22	6
210.79.190.31	6
210.79.191.199	6
210.104.95.169	6
211.20.14.156	6
211.219.22.213	6
211.252.85.97	6
211.253.9.49	6
212.11.64.156	6
212.11.64.229	6
212.80.7.155	6
212.88.48.17	6
213.165.52.102	6
216.36.118.165	6
216.57.110.81	6
217.154.69.208	6
218.51.148.194	6
218.157.205.238	6
219.144.80.143	6
219.150.93.157	6
219.152.170.58	6
220.118.173.234	6
220.247.224.226	6
221.139.88.149	6
221.147.115.42	6
221.156.126.1	6
221.161.235.168	6
221.213.2.93	6
222.107.156.227	6
222.108.39.109	6
222.108.100.117	6
222.114.185.30	6
222.119.187.99	6
222.124.177.148	6
222.232.176.7	6
223.221.36.42	6
223.223.199.221	6
223.233.80.81	6
223.247.218.112	6
8.219.243.221	6
1.15.33.90	5
1.30.199.218	5
1.34.27.213	5
1.92.101.41	5
1.94.30.46	5
1.94.220.55	5
1.194.219.159	5
1.214.117.218	5
1.214.197.163	5
1.214.255.210	5
1.222.42.237	5
1.238.114.145	5
2.33.239.68	5
2.57.122.210	5
2.59.22.234	5
2.229.200.226	5
3.1.230.193	5
3.81.230.20	5
3.87.26.96	5
3.92.180.146	5
3.225.10.85	5
5.44.46.92	5
5.61.209.107	5
5.99.196.202	5
5.133.122.228	5
5.161.47.111	5
5.161.121.36	5
5.175.139.236	5
5.175.189.25	5
5.180.183.198	5
5.182.26.157	5
5.182.83.231	5
5.189.174.132	5
5.223.64.243	5
5.223.69.51	5
5.252.153.200	5
5.253.59.68	5
8.134.159.4	5
8.154.1.148	5
8.209.204.134	5
8.209.251.245	5
8.210.57.206	5
8.211.44.115	5
8.211.134.136	5
8.219.57.116	5
8.219.144.187	5
8.219.159.242	5
8.219.236.45	5
8.222.239.151	5
8.222.246.190	5
8.243.50.114	5
12.202.15.69	5
13.81.183.28	5
13.81.183.29	5
13.83.90.155	5
13.86.113.121	5
13.89.124.208	5
13.89.124.214	5
13.89.125.24	5
13.89.125.30	5
13.89.125.229	5
13.218.167.231	5
14.18.236.71	5
14.22.82.116	5
14.29.170.54	5
14.29.198.63	5
14.29.208.128	5
14.29.214.161	5
14.29.240.154	5
14.29.245.15	5
14.34.157.138	5
14.37.160.15	5
14.47.56.17	5
14.54.22.11	5
14.55.144.22	5
14.103.9.211	5
14.103.18.123	5
14.103.21.179	5
14.103.31.218	5
14.103.37.34	5
14.103.41.98	5
14.103.41.249	5
14.103.46.177	5
14.103.54.150	5
14.103.55.226	5
14.103.63.16	5
14.103.64.177	5
14.103.79.11	5
14.103.80.24	5
14.103.83.66	5
14.103.86.48	5
14.103.86.183	5
14.103.90.30	5
14.103.99.176	5
14.103.102.130	5
14.103.105.36	5
14.103.105.40	5
14.103.105.62	5
14.103.105.246	5
14.103.108.102	5
14.103.110.123	5
14.103.111.110	5
14.103.111.127	5
14.103.112.14	5
14.103.112.42	5
14.103.112.55	5
14.103.112.56	5
14.103.112.100	5
14.103.112.105	5
14.103.112.106	5
14.103.112.109	5
14.103.112.112	5
14.103.112.179	5
14.103.112.243	5
14.103.113.42	5
14.103.114.2	5
14.103.114.17	5
14.103.114.89	5
14.103.114.136	5
14.103.114.205	5
14.103.114.234	5
14.103.114.244	5
14.103.115.5	5
14.103.115.54	5
14.103.115.80	5
14.103.115.115	5
14.103.115.123	5
14.103.115.143	5
14.103.115.181	5
14.103.115.210	5
14.103.116.98	5
14.103.117.69	5
14.103.117.73	5
14.103.117.77	5
14.103.117.91	5
14.103.117.98	5
14.103.118.106	5
14.103.118.114	5
14.103.118.145	5
14.103.118.153	5
14.103.118.177	5
14.103.118.186	5
14.103.118.194	5
14.103.118.198	5
14.103.118.208	5
14.103.118.248	5
14.103.119.118	5
14.103.120.75	5
14.103.120.124	5
14.103.120.242	5
14.103.121.146	5
14.103.122.90	5
14.103.123.8	5
14.103.123.50	5
14.103.123.67	5
14.103.123.80	5
14.103.123.87	5
14.103.123.166	5
14.103.123.167	5
14.103.124.188	5
14.103.126.73	5
14.103.127.3	5
14.103.127.7	5
14.103.127.23	5
14.103.127.32	5
14.103.127.66	5
14.103.127.80	5
14.103.127.97	5
14.103.127.199	5
14.103.127.233	5
14.103.127.235	5
14.103.127.242	5
14.103.129.174	5
14.103.131.112	5
14.103.140.39	5
14.103.145.231	5
14.103.149.158	5
14.103.159.224	5
14.103.174.120	5
14.103.200.237	5
14.103.206.214	5
14.103.228.201	5
14.103.233.27	5
14.103.235.143	5
14.103.243.87	5
14.103.247.214	5
14.116.254.43	5
14.139.107.146	5
14.161.22.36	5
14.194.62.218	5
14.195.83.210	5
14.224.227.189	5
14.225.3.79	5
